"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"30 AGO2007","_","_",4.167,4.339,6.225,"_",4.619,0.489,0.099,0.853,0.359,4.230,97.360,"_","_","_",0.331,1.381,1.180,22.310,"_","_","_",1.998,-0.797,25.256,3.063,13.992,-3.640,-0.141,6.223,6.211,-6.223,14323.500,22.560,1.361000,3.341,157.330000,0.255,-0.220,6.630,6.630,78.495
"31 AGO2007",4.098,4.131,4.216,4.362,6.250,"_",4.664,0.613,0.103,0.881,0.336,4.269,97.310,0.865,0.842,0.269,0.348,2.580,2.356,21.700,"_","_","_",3.749,1.073,27.832,4.238,15.784,-2.812,1.326,7.178,7.497,-3.813,14497.000,22.280,1.370500,4.062,159.250000,1.478,-0.170,6.700,6.680,78.586
"03 SEP2007","_",4.076,4.221,4.362,5.930,"_","_",0.813,0.104,0.873,"_",4.264,97.060,0.980,"_",0.324,0.338,3.068,2.830,21.470,"_","_","_",4.531,1.466,29.074,4.273,15.942,-2.560,1.517,"_","_",-4.069,14554.500,23.110,1.363200,3.508,157.860000,0.593,-0.200,6.680,6.600,78.492
"04 SEP2007","_",4.107,4.188,4.361,5.950,"_","_",0.783,0.103,0.849,0.327,4.236,96.960,0.830,"_",0.253,0.319,3.427,3.136,21.430,"_","_","_",5.526,2.947,31.115,4.961,17.051,-2.495,2.508,7.909,8.900,-4.675,14592.500,23.150,1.358000,3.113,156.840000,-0.057,-0.250,7.000,6.800,78.431
"05 SEP2007","_",4.094,4.212,4.354,5.720,"_","_",0.657,0.107,0.896,0.332,4.260,97.460,0.890,"_",0.266,0.346,1.050,0.662,22.150,"_","_","_",2.966,0.236,28.738,2.803,15.024,-4.768,0.802,6.758,7.894,-6.196,14241.500,23.510,1.358800,3.174,157.110000,0.115,-0.350,6.800,6.700,78.453
"06 SEP2007",4.060,4.076,4.166,4.338,5.730,"_",4.614,0.688,0.117,0.905,0.305,4.217,97.410,"_",0.900,0.265,0.322,0.823,0.367,21.990,"_","_","_",2.718,0.481,29.730,3.305,15.535,-4.438,1.487,7.223,8.240,-5.624,14196.500,23.680,1.366900,3.789,157.320000,0.249,-0.280,6.790,6.780,78.510
"07 SEP2007",4.025,4.050,4.158,4.324,5.870,"_",4.637,0.692,0.135,0.904,0.360,4.189,97.940,0.836,0.915,0.260,0.296,-1.342,-1.931,22.610,"_","_","_",0.506,-1.483,26.136,1.031,12.729,-6.608,-0.476,5.217,6.227,-6.407,13847.000,24.820,1.369600,3.994,157.790000,0.548,0.030,6.960,6.980,78.530
"10 SEP2007",3.975,3.968,4.071,4.263,5.870,"_","_",0.639,0.133,0.893,0.302,4.125,98.300,0.870,0.935,0.252,0.297,-2.362,-2.970,22.210,"_","_","_",-1.239,-3.345,23.763,0.401,11.801,-6.906,-1.394,5.333,5.955,-8.481,13715.000,24.820,1.379500,4.746,156.640000,-0.185,0.100,7.350,7.150,78.593
"11 SEP2007","_",3.968,4.068,4.233,5.890,"_",4.561,0.714,0.139,0.862,0.295,4.103,98.050,"_","_",0.262,0.307,-0.762,-1.279,22.460,"_","_","_",0.020,-1.304,27.720,1.879,13.051,-5.785,0.963,6.782,7.543,-7.826,13960.500,26.530,1.382400,4.966,157.310000,0.242,0.120,7.030,7.000,78.618
"12 SEP2007","_",4.003,4.080,4.237,5.900,"_",4.569,0.748,0.131,0.849,0.293,4.096,97.850,0.870,"_",0.227,0.303,-0.751,-1.174,22.440,"_","_","_",-0.701,-1.782,30.110,2.203,13.280,-5.389,1.373,6.648,7.319,-8.291,13961.000,26.300,1.388500,5.429,158.140000,0.771,0.200,7.180,7.140,78.701
"13 SEP2007","_",4.048,4.150,4.275,5.880,"_","_",1.106,0.124,0.814,0.331,4.147,97.630,0.840,"_",0.272,0.315,-0.115,-0.486,22.490,"_","_","_",-0.606,-2.887,31.659,3.133,14.235,-4.520,2.300,7.717,7.691,-8.154,14057.500,25.890,1.389700,5.520,159.520000,1.650,0.250,7.000,6.960,78.746
"14 SEP2007","_",4.079,4.133,4.278,5.880,"_",4.594,1.189,0.124,0.793,0.360,4.149,97.610,0.873,"_",0.241,0.302,-1.657,-2.018,22.730,"_","_","_",-2.848,-5.526,32.095,2.461,13.655,-5.227,1.101,7.858,7.738,-6.377,13832.000,27.010,1.386000,5.239,159.200000,1.447,0.150,6.760,6.800,78.764
"17 SEP2007","_",4.065,4.155,4.286,5.770,"_","_",1.200,0.120,0.767,0.366,4.158,97.750,0.920,"_",0.255,0.304,-2.987,-3.178,22.670,"_","_","_",-6.184,-7.846,29.238,1.570,13.384,-6.132,-0.611,7.544,6.888,"_",13683.500,34.760,1.387700,5.368,159.450000,1.606,0.150,6.700,6.650,78.835
"18 SEP2007","_","_",4.172,4.303,5.860,"_",4.575,0.978,0.113,0.784,0.328,4.196,97.310,0.850,"_","_",0.307,-0.651,-0.739,23.490,"_","_","_",-4.631,-5.332,32.358,3.507,14.829,-4.453,1.005,10.240,9.786,-8.267,14110.000,36.650,1.386700,5.292,160.160000,2.058,0.100,6.790,6.700,78.860
"19 SEP2007",4.041,4.131,4.245,4.369,"_","_","_",0.958,0.103,0.749,0.321,4.243,96.850,0.860,0.829,0.239,0.311,2.319,2.462,24.750,"_","_","_",-1.573,-3.482,38.611,6.539,17.492,-2.172,3.845,10.851,10.400,-4.901,14496.000,31.870,1.397500,6.112,161.800000,3.103,0.100,6.760,6.680,78.974
"20 SEP2007",4.029,4.189,4.289,4.386,6.130,"_",4.699,1.014,0.095,0.759,0.302,4.320,96.620,0.878,0.861,0.221,0.354,1.873,1.984,24.730,"_","_","_",-2.117,-2.315,37.441,5.976,17.253,-2.908,3.347,10.459,9.895,-4.714,14426.000,27.380,1.403000,6.530,161.430000,2.868,0.250,7.000,6.850,78.977
"21 SEP2007",4.030,4.177,4.292,4.453,6.110,"_",4.756,0.990,0.093,0.799,0.376,4.352,96.470,0.900,0.860,0.233,0.337,2.041,2.150,24.710,"_","_","_",-1.796,-1.714,38.132,6.078,18.153,-2.855,3.792,10.888,10.596,-5.301,14455.500,26.270,1.404900,6.674,162.460000,3.524,0.310,6.790,6.810,79.000
"24 SEP2007","_",4.155,4.273,4.469,6.100,"_","_",0.717,0.095,0.789,0.338,4.380,96.330,0.910,"_",0.265,0.351,2.396,2.461,24.600,"_","_","_",-1.021,-1.603,39.862,5.842,18.054,-2.634,3.940,10.398,10.461,"_",14491.000,25.850,1.411300,7.160,162.350000,3.454,0.310,6.780,6.650,79.024
"25 SEP2007","_",4.108,4.245,4.420,6.110,"_",4.735,0.762,0.092,0.786,0.308,4.319,96.630,0.830,"_",0.252,0.340,1.170,1.169,24.750,"_","_","_",-2.455,-3.849,39.504,5.072,17.774,-3.358,2.831,10.555,11.103,-4.784,14320.000,25.360,1.410600,7.107,161.240000,2.746,0.220,6.650,6.630,79.042
"26 SEP2007",4.009,4.129,4.280,4.457,6.080,"_","_",0.477,0.096,0.785,0.333,4.364,96.210,0.850,0.881,0.271,0.343,2.518,2.596,24.990,"_","_","_",-0.843,-3.174,42.119,5.934,18.300,-2.418,3.411,11.353,11.748,-4.587,14508.000,25.120,1.412700,7.267,162.930000,3.823,0.100,6.470,6.450,79.089
"27 SEP2007",4.039,4.162,4.311,4.486,5.920,"_","_",0.460,0.091,0.775,0.289,4.380,96.250,"_",0.851,0.278,0.334,2.987,3.076,24.990,"_","_","_",0.309,-2.545,43.323,6.530,19.052,-2.413,4.270,11.633,12.185,-2.285,14582.500,25.200,1.418000,7.669,163.290000,4.053,0.110,6.600,6.570,79.110
"28 SEP2007","_",4.151,4.276,4.426,5.830,"_",4.731,0.567,0.091,0.768,0.258,4.339,96.700,0.900,"_",0.259,0.364,2.956,3.040,24.910,"_","_","_",0.094,-2.315,44.056,6.354,19.169,-2.867,3.954,11.494,11.850,-2.555,14601.500,25.520,1.417900,7.661,163.550000,4.218,0.100,6.600,6.500,79.084
"01 OCT2007",4.015,4.127,4.253,4.422,5.770,"_",4.697,0.438,0.087,0.761,0.287,4.342,96.730,"_",0.845,0.243,0.358,3.142,3.227,24.880,"_","_","_",0.958,-1.184,45.899,7.032,20.093,-1.619,4.588,13.034,13.485,-2.205,14598.000,26.990,1.423200,8.064,164.760000,4.989,0.100,7.180,6.780,79.137
"02 OCT2007","_",4.125,4.249,4.438,5.740,"_","_",0.378,0.081,0.736,0.273,4.352,96.810,0.920,"_",0.265,0.352,4.097,4.549,24.950,"_","_","_",1.642,-2.007,48.570,7.453,20.462,-1.742,4.495,12.711,13.738,-1.039,14779.000,27.090,1.416500,7.555,163.920000,4.454,0.100,7.150,6.780,79.051
"03 OCT2007",3.985,4.069,4.198,4.381,5.750,"_",4.669,0.571,0.078,0.729,0.269,4.300,96.690,0.875,0.905,0.281,0.359,3.944,4.505,24.940,"_","_","_",1.950,-1.651,47.689,7.321,20.591,-1.811,5.054,12.075,13.006,-0.151,14778.500,27.280,1.419500,7.783,164.860000,5.053,0.030,7.150,6.700,79.103
"04 OCT2007",4.053,4.083,4.208,4.395,5.560,"_",4.656,0.631,0.068,0.728,0.294,4.329,97.100,0.920,0.827,0.297,0.375,3.733,4.040,24.850,"_","_","_",2.573,-1.529,44.608,7.293,20.435,-1.458,5.258,12.125,13.178,-0.774,14712.000,27.500,1.410900,7.130,164.510000,4.830,0.030,7.280,6.750,79.022
"05 OCT2007",3.960,4.042,4.243,4.390,5.650,"_",4.685,0.645,0.067,0.718,0.324,4.295,96.670,"_",0.920,0.288,0.340,5.032,5.271,24.990,"_","_","_",3.092,1.389,48.324,8.140,21.302,-0.868,6.028,12.861,15.113,-0.933,14884.000,26.640,1.413600,7.335,164.600000,4.888,-0.030,6.830,6.530,79.020
"08 OCT2007","_",4.118,4.258,4.421,5.630,"_","_",0.885,0.062,0.706,0.344,4.352,96.690,0.860,"_",0.282,0.369,4.379,4.683,24.840,"_","_","_",3.142,0.236,49.079,7.668,20.880,-1.128,5.146,12.682,15.405,"_",14811.000,27.020,1.408900,6.978,165.490000,5.455,-0.040,6.750,6.470,78.991
"09 OCT2007","_","_",4.248,4.413,5.630,"_",4.667,0.843,0.065,0.676,0.347,4.334,96.980,0.980,"_","_",0.377,4.628,5.063,24.820,"_","_","_",2.995,0.763,52.535,7.953,20.972,-0.103,6.343,13.651,16.090,-0.383,14861.500,27.390,1.403700,6.583,164.540000,4.849,-0.100,6.900,6.520,78.954
"10 OCT2007","_",4.149,4.262,4.407,5.610,"_","_",0.910,0.066,0.704,0.366,4.358,96.690,0.895,"_",0.271,0.383,4.675,5.071,24.800,"_","_","_",3.804,0.720,52.375,7.832,21.065,-0.464,6.626,12.963,16.409,-0.278,14870.500,27.260,1.414600,7.411,166.050000,5.812,-0.050,6.800,6.470,79.053
"11 OCT2007","_",4.184,4.316,4.459,3.350,"_","_",0.819,0.069,0.726,0.350,4.380,96.460,0.900,"_",0.266,0.351,6.240,6.740,24.750,"_","_","_",4.342,1.079,55.335,8.583,21.779,-0.096,8.097,12.452,14.777,1.353,15124.000,26.270,1.419900,7.813,166.960000,6.391,-0.030,6.780,6.520,79.141
"12 OCT2007","_",4.233,4.342,4.436,5.660,"_",4.678,0.852,0.062,0.754,0.327,4.383,96.200,"_","_",0.257,0.384,7.321,7.880,25.170,"_","_","_",3.452,0.604,54.589,8.643,21.894,0.156,8.197,13.078,16.163,0.612,15270.500,28.550,1.417300,7.616,166.510000,6.105,-0.180,6.550,6.290,79.141
"15 OCT2007","_",4.277,4.387,4.496,5.665,"_","_",0.869,0.061,0.774,0.312,4.435,96.160,0.812,"_",0.303,0.374,6.870,7.359,25.070,"_","_","_",3.195,1.386,54.063,7.647,20.806,-1.073,6.811,12.209,15.102,0.768,15196.000,29.480,1.422600,8.018,167.520000,6.748,-0.190,6.600,6.290,79.165
"16 OCT2007","_",4.229,4.364,4.491,5.268,"_",4.760,0.709,0.061,0.740,0.279,4.425,96.090,0.880,"_",0.291,0.369,7.328,8.010,24.700,"_","_","_",1.834,0.743,51.379,7.305,20.702,-1.390,6.326,11.633,14.434,-0.510,15288.000,31.280,1.415000,7.441,165.170000,5.251,-0.220,6.800,6.440,79.089
"17 OCT2007",4.129,4.217,4.357,4.493,5.321,"_",4.784,0.688,0.067,0.743,0.276,4.428,96.390,"_",0.731,0.303,0.367,8.301,9.076,24.780,"_","_","_",3.229,2.118,52.876,7.812,21.048,-1.758,7.345,11.469,15.625,-1.570,15425.000,32.910,1.420000,7.821,166.270000,5.952,-0.210,6.700,6.390,79.145
"18 OCT2007",4.086,4.160,4.291,4.434,5.382,"_",4.749,0.596,0.086,0.771,0.236,4.327,96.380,0.800,0.774,0.280,0.336,8.759,9.618,24.680,"_","_","_",3.049,0.754,52.216,7.292,20.077,-2.661,6.247,11.440,15.900,-0.695,15515.000,33.980,1.429900,8.573,165.000000,5.142,-0.160,6.950,6.620,79.178
"19 OCT2007",4.033,4.091,4.205,4.379,5.709,"_",4.670,0.556,0.087,0.771,0.229,4.299,96.500,"_",0.797,0.299,0.361,8.754,9.778,24.680,"_","_","_",1.824,1.073,50.472,7.071,19.512,-2.670,4.937,8.496,12.830,-2.389,15489.000,20.130,1.428800,8.489,164.860000,5.053,-0.130,6.980,6.490,79.156
"22 OCT2007",4.004,4.026,4.105,4.282,5.410,"_",4.564,0.516,0.091,0.807,0.254,4.175,97.780,0.785,0.826,0.244,0.318,7.420,8.350,23.830,"_","_","_",0.388,-0.885,46.201,5.736,18.160,-4.349,3.834,8.857,14.021,-4.571,15292.500,22.490,1.416600,7.563,161.400000,2.848,-0.200,7.300,6.800,79.036
"23 OCT2007","_","_",4.156,4.300,5.400,"_",4.597,0.833,0.090,0.806,0.274,4.208,97.710,0.775,"_","_",0.350,7.950,9.070,23.860,"_","_","_",0.985,-0.157,49.627,6.274,18.886,-3.801,4.713,9.733,15.897,-4.501,15388.000,22.030,1.425400,8.231,163.500000,4.187,-0.200,7.200,6.790,79.093
"24 OCT2007","_",3.989,4.112,4.271,5.470,"_",4.581,0.983,0.091,0.809,0.258,4.176,98.100,0.790,"_",0.291,0.349,6.628,7.668,24.080,"_","_","_",0.419,-1.045,48.574,5.757,18.676,-4.162,4.199,9.725,14.883,-5.036,15188.500,21.850,1.423000,8.049,162.670000,3.658,-0.220,7.400,6.930,79.068
"25 OCT2007",3.980,"_",4.099,4.258,5.440,"_",4.560,1.319,0.094,0.833,0.231,4.162,97.940,0.792,0.780,"_",0.352,7.619,8.762,23.730,"_","_","_",1.662,1.543,50.183,7.092,20.245,-3.026,5.715,9.699,13.894,-5.467,15345.000,20.520,1.430900,8.648,163.640000,4.276,-0.260,7.350,6.990,79.149
"26 OCT2007",3.979,3.978,4.088,4.262,5.351,"_",4.571,1.421,0.101,0.820,0.280,4.168,97.720,0.768,0.771,0.282,0.328,9.061,10.302,23.660,"_","_","_",2.015,1.694,53.230,7.774,20.498,-2.490,7.081,10.780,16.102,-4.181,15561.500,20.130,1.438400,9.218,164.500000,4.824,-0.330,7.400,7.030,79.239
"29 OCT2007",3.985,4.008,"_",4.276,5.350,"_","_",1.506,0.100,0.811,0.280,4.176,97.820,0.720,0.755,0.282,0.344,9.944,11.251,23.650,"_","_","_",2.961,2.440,60.431,8.532,21.415,-2.158,7.800,11.290,16.650,-3.064,15694.000,21.340,1.439100,9.271,165.170000,5.251,-0.280,7.530,7.090,79.238
"30 OCT2007",4.030,4.019,4.126,4.288,5.350,"_","_",1.714,0.100,0.800,0.259,4.195,97.660,0.690,0.710,0.291,0.342,10.174,11.565,23.490,"_","_","_",4.071,2.403,58.947,8.326,20.934,-2.187,7.044,10.666,16.620,-3.337,15746.000,21.130,1.440700,9.393,165.410000,5.404,-0.200,7.500,7.090,79.224
"31 OCT2007",4.049,4.074,4.143,4.310,5.800,"_",4.584,2.047,0.108,0.798,0.223,4.247,97.220,0.740,0.691,0.306,0.370,10.901,12.328,23.490,"_","_","_",5.369,4.666,59.228,8.977,21.560,-1.436,8.050,11.770,18.376,-2.834,"_",23.940,1.444700,9.696,166.490000,6.092,-0.200,7.700,7.220,79.279
"01 NOV2007",4.120,4.071,"_",4.335,6.110,"_","_",2.032,0.109,0.811,0.212,4.273,97.420,0.697,0.620,0.379,0.425,10.044,11.403,23.370,"_","_","_",4.522,4.336,56.716,7.168,19.463,-3.272,5.872,8.864,15.714,-2.063,15743.500,23.960,1.442300,9.514,166.290000,5.964,-0.150,7.330,7.100,79.201
"02 NOV2007",4.220,"_",4.145,4.300,5.980,"_",4.571,2.007,0.107,0.814,0.213,4.233,97.660,0.710,0.520,"_",0.360,10.489,11.856,22.730,"_","_","_",3.884,4.142,53.985,7.042,18.987,-3.257,4.980,9.082,16.358,-4.112,15792.500,25.150,1.447900,9.939,166.880000,6.340,-0.230,7.180,7.030,79.272
"05 NOV2007","_",4.004,4.091,4.263,5.950,"_",4.575,1.869,0.108,0.791,0.191,4.158,97.690,"_","_",0.286,0.337,10.416,11.871,22.540,"_","_","_",3.037,3.912,51.642,6.623,18.351,-3.907,3.868,8.668,15.729,-5.555,15791.000,27.810,1.448800,10.008,165.390000,5.391,-0.210,7.470,7.170,79.254
"06 NOV2007",4.030,4.036,4.110,4.304,5.950,"_","_",1.742,0.109,0.788,0.218,4.188,97.600,"_",0.710,0.314,0.366,10.848,12.363,21.530,"_","_","_",3.022,4.196,53.929,6.976,18.649,-3.936,4.085,9.611,16.971,-5.667,15859.500,27.500,1.454700,10.456,166.900000,6.353,-0.190,7.580,7.250,79.311
"07 NOV2007","_",4.195,4.076,4.266,6.070,"_",4.561,1.861,0.121,0.792,0.249,4.135,97.760,0.720,"_",0.095,0.344,10.366,11.985,21.440,"_","_","_",2.118,3.425,53.985,6.806,18.231,-4.193,2.641,6.715,13.807,-6.555,15824.000,27.550,1.472200,11.784,166.070000,5.824,-0.100,8.030,7.620,79.398
"08 NOV2007","_",3.948,4.055,4.259,6.080,"_",4.571,1.948,0.129,0.759,0.215,4.147,97.840,0.716,"_",0.332,0.371,10.934,12.718,21.218,"_","_","_",1.686,3.046,58.140,5.914,18.532,-6.052,2.590,6.444,11.622,-8.442,15917.000,27.710,1.466600,11.359,165.900000,5.716,-0.100,8.130,8.330,79.346
"09 NOV2007","_",3.947,3.989,4.234,6.052,"_",4.581,1.988,0.130,0.742,0.206,4.099,98.160,"_","_",0.263,0.346,9.514,11.202,21.512,"_","_","_",0.506,0.188,53.937,4.318,18.425,-7.789,1.352,4.650,8.804,-9.535,15676.500,31.480,1.468300,11.488,163.220000,4.008,-0.060,8.280,8.450,79.354
"12 NOV2007","_",3.876,3.986,4.229,6.020,"_","_",2.152,0.133,0.741,0.165,4.089,98.040,0.710,"_",0.364,0.361,9.757,11.510,19.230,"_","_","_",-0.083,0.501,50.787,4.440,18.341,-7.238,1.882,4.208,6.990,-11.777,15745.000,33.680,1.457900,10.699,159.550000,1.670,-0.030,9.830,9.050,79.292
"13 NOV2007","_",3.907,4.007,4.249,6.110,"_",4.570,2.269,0.133,0.722,0.177,4.093,97.840,0.762,"_",0.483,0.491,10.038,11.793,18.820,"_","_","_",-0.421,-1.082,52.112,4.661,17.897,-6.882,2.276,6.771,10.697,-12.186,15791.500,33.810,1.460700,10.911,160.960000,2.568,-0.260,8.720,8.080,79.332
"14 NOV2007","_","_",4.053,4.281,6.110,"_",4.699,2.320,0.125,0.682,0.179,4.142,97.750,0.728,"_","_",0.399,10.110,11.751,18.830,"_","_","_",-0.267,-1.133,57.756,5.300,17.981,-6.329,3.397,6.161,9.483,-10.021,15809.000,33.840,1.470000,11.617,163.260000,4.034,-0.260,8.500,7.600,79.492
"15 NOV2007","_",3.943,4.035,4.275,5.930,"_","_",2.349,0.133,0.650,0.157,4.129,97.830,0.705,"_",0.377,0.405,9.564,11.164,18.880,"_","_","_",-1.435,-3.618,52.889,4.405,16.221,-6.589,2.231,5.190,8.414,-10.621,15718.000,35.030,1.463900,11.154,161.980000,3.218,-0.260,8.770,8.030,79.503
"16 NOV2007","_","_",3.997,4.231,5.930,"_",4.591,2.354,0.120,0.633,0.101,4.110,97.950,0.710,"_","_",0.409,9.867,11.469,18.810,"_","_","_",-1.583,-3.977,55.042,3.943,15.391,-6.286,1.132,5.726,9.189,-12.024,15831.500,40.860,1.465100,11.245,161.980000,3.218,-0.300,9.000,8.180,79.524
"19 NOV2007","_",3.853,"_",4.228,5.950,"_","_",1.149,0.130,0.631,0.103,4.090,98.320,0.771,"_",0.397,0.422,8.390,9.846,18.910,"_","_","_",-3.375,-7.761,51.689,2.591,13.871,-8.420,-1.608,3.974,7.373,-12.674,15589.000,48.050,1.465400,11.268,161.580000,2.963,-0.300,8.830,8.030,79.503
"20 NOV2007","_",3.813,3.927,4.199,5.980,"_",4.580,2.317,0.147,0.625,0.069,4.052,97.980,0.749,"_",0.377,0.421,9.269,10.982,19.020,"_","_","_",-3.502,-6.926,52.595,3.818,15.665,-7.614,0.092,4.389,7.515,-11.694,15771.500,43.070,1.478500,12.263,162.850000,3.772,-0.250,9.350,8.300,79.635
"21 NOV2007",3.945,3.790,3.879,4.182,"_","_",4.577,2.415,0.159,0.637,0.017,4.040,98.450,0.793,0.825,0.350,0.398,6.946,8.610,19.830,"_","_","_",-6.639,-9.995,43.215,1.836,13.969,-9.016,-2.410,2.695,6.080,-13.864,15423.500,44.770,1.481400,12.483,160.920000,2.543,-0.230,9.700,8.680,79.653
"22 NOV2007",3.953,3.801,3.905,4.207,5.990,"_",4.615,2.472,0.151,0.605,"_",4.031,98.600,0.790,0.837,0.369,0.413,6.620,8.275,19.560,"_","_","_",-6.448,-10.457,44.401,2.160,14.631,-8.927,-1.053,"_","_",-13.567,15358.500,44.780,1.482900,12.597,161.220000,2.734,-0.180,9.500,8.710,79.654
"23 NOV2007",3.915,3.828,3.921,4.215,5.900,"_",4.639,2.587,0.169,0.613,0.035,4.056,98.460,0.812,0.885,0.362,0.405,7.224,8.806,19.560,"_","_","_",-5.097,-9.047,44.630,3.607,15.341,-7.534,0.664,4.154,7.507,"_",15432.000,44.060,1.480900,12.445,159.870000,1.873,-0.230,9.830,8.880,79.629
"26 NOV2007","_",3.861,3.947,4.218,5.900,"_","_",2.726,0.160,0.617,0.029,4.052,98.470,0.850,"_",0.379,0.442,6.876,8.367,19.500,"_","_","_",-5.241,-8.862,43.292,2.866,14.711,-8.210,-0.648,2.249,5.204,-12.137,15364.000,44.360,1.484500,12.718,160.960000,2.568,-0.250,9.450,8.700,79.642
"27 NOV2007",3.902,3.832,3.912,4.189,6.200,"_",4.598,2.688,0.171,0.637,-0.108,4.003,98.320,0.903,0.908,0.378,0.431,6.782,8.264,19.350,"_","_","_",-6.072,-10.206,37.342,2.536,14.165,-8.352,-1.288,3.974,6.853,-11.628,15372.500,44.390,1.487400,12.938,160.110000,2.026,-0.270,9.080,8.660,79.657
"28 NOV2007",4.246,3.863,3.991,4.266,6.190,"_",4.676,2.672,0.156,0.643,-0.109,4.127,97.750,0.960,0.564,0.407,0.434,8.352,10.038,19.680,"_","_","_",-5.014,-9.133,45.092,4.898,17.080,-6.543,1.373,6.630,10.252,-12.029,15631.500,46.460,1.474700,11.974,162.020000,3.243,-0.270,9.500,8.850,79.589
"29 NOV2007",3.931,3.887,3.997,4.269,6.390,"_",4.688,2.559,0.155,0.588,-0.059,4.102,98.050,0.950,0.879,0.393,0.451,8.960,10.675,19.710,"_","_","_",-4.783,-8.749,48.798,5.511,17.709,-6.324,2.062,6.809,10.468,-9.939,15703.500,48.220,1.473800,11.906,162.260000,3.396,-0.350,9.400,9.000,79.605
"30 NOV2007",3.933,3.893,3.992,4.254,6.410,"_","_",2.679,0.144,0.602,-0.105,4.103,97.730,0.967,0.897,0.407,0.486,9.856,11.405,18.710,"_","_","_",-2.722,-6.018,50.710,6.675,19.306,-5.434,3.403,7.290,10.171,-8.970,15819.500,46.460,1.476100,12.080,163.430000,4.142,-0.450,8.750,8.480,79.646
"03 DIC2007","_",3.894,3.988,4.260,6.450,"_","_",2.446,0.145,0.573,-0.139,4.118,98.110,1.090,"_",0.476,0.500,9.777,11.229,18.680,"_","_","_",-2.963,"_",49.834,6.110,18.802,-5.836,2.665,6.831,9.185,-9.270,15784.500,46.810,1.466600,11.359,161.820000,3.116,-0.550,8.990,8.630,79.525
"04 DIC2007",3.950,3.813,3.932,4.224,6.270,"_",4.612,2.356,0.147,0.596,-0.175,4.050,98.470,1.026,0.920,0.477,0.496,9.597,11.039,17.670,"_","_","_",-3.910,"_",50.080,5.319,18.373,-6.632,1.517,6.303,8.469,-10.134,15765.500,47.140,1.474100,11.929,161.850000,3.135,-0.550,9.050,8.550,79.618
"05 DIC2007","_",3.824,3.916,4.195,6.260,"_",4.611,2.428,0.141,0.528,-0.099,4.045,98.400,0.920,"_",0.566,0.545,10.226,11.704,17.560,"_","_","_",-2.087,"_",55.629,7.040,20.432,-5.018,4.389,7.878,10.395,-9.387,15853.500,46.820,1.472000,11.769,162.330000,3.441,-0.570,9.070,8.670,79.702
"06 DIC2007","_","_",3.922,4.216,6.340,"_",4.629,2.422,0.131,0.570,-0.047,4.066,98.120,"_","_","_",0.554,9.516,10.953,17.330,"_","_","_",-2.713,"_",58.654,7.154,20.368,-4.951,4.257,9.281,12.162,-7.847,15730.500,47.380,1.455400,10.509,161.550000,2.944,-0.580,9.060,8.760,79.551
"07 DIC2007",3.967,3.901,4.029,4.286,6.530,"_",4.677,2.672,0.119,0.551,-0.078,4.159,97.360,"_",0.853,0.549,0.574,10.228,11.827,17.380,"_","_","_",-2.436,"_",61.018,7.922,21.179,-4.508,5.371,9.327,12.043,-7.370,15856.500,47.150,1.464900,11.230,163.380000,4.110,-0.620,8.450,8.400,79.654
"10 DIC2007",4.018,4.013,4.096,4.333,6.500,"_",4.705,2.785,0.102,0.513,-0.107,4.259,96.990,1.010,0.832,0.547,0.637,10.328,11.920,17.350,"_","_","_",-1.503,"_",59.387,8.388,21.774,-4.176,5.539,10.141,12.572,-7.555,15876.500,47.740,1.471800,11.754,164.530000,4.843,-0.600,8.350,8.150,79.711
"11 DIC2007","_",4.034,4.127,4.377,6.510,"_",4.732,2.782,0.100,0.537,-0.099,4.266,97.200,0.980,"_",0.556,0.603,10.680,12.328,16.800,"_","_","_",-1.636,"_",59.810,8.010,21.412,-4.513,5.081,7.780,9.815,-6.857,15945.500,47.750,1.467200,11.405,164.240000,4.658,-0.560,8.520,8.180,79.648
"12 DIC2007","_",4.061,4.159,4.383,6.510,"_",4.729,2.379,0.097,0.559,-0.194,4.293,96.660,1.081,"_",0.589,0.627,10.462,12.113,16.680,"_","_","_",-1.656,"_",61.359,8.484,22.423,-4.438,5.449,8.110,10.593,-7.509,15894.500,48.150,1.467500,11.427,163.410000,4.129,-0.550,8.330,8.150,79.674
"13 DIC2007","_",4.068,4.155,4.408,6.500,"_",4.744,2.167,0.110,0.601,-0.134,4.332,96.820,1.061,"_",0.602,0.602,8.047,9.562,16.890,"_","_","_",-4.340,"_",54.585,6.088,20.182,-5.944,2.305,8.463,10.483,-9.807,15529.000,36.530,1.468300,11.488,164.210000,4.639,-0.580,8.290,8.110,79.702
