Date,Last,Open,Max,Min,Vol_K,Var_%
2015-10-09,508.13,511.0,519.5,504.63,,-0.59
2015-10-08,511.13,516.0,522.0,509.38,,-1.06
2015-10-07,516.63,525.38,531.5,515.13,,-1.76
2015-10-06,525.88,514.63,526.63,513.13,,1.94
2015-10-05,515.88,512.38,518.0,508.88,,0.63
2015-10-02,512.63,516.75,523.0,512.63,,-1.04
2015-10-01,518.0,512.38,523.75,511.88,,1.12
2015-09-30,512.25,503.38,515.5,498.38,,1.66
2015-09-29,503.88,505.88,509.75,500.63,,-0.44
2015-09-28,506.13,508.5,515.5,500.38,,-0.39
2015-09-25,508.13,497.88,510.5,496.38,,2.21
2015-09-24,497.13,506.0,509.0,496.88,,-2.07
2015-09-23,507.63,494.25,508.5,493.88,,2.47
2015-09-22,495.38,496.38,496.5,488.38,,-0.25
2015-09-21,496.63,486.25,499.25,480.63,,2.05
2015-09-18,486.63,481.63,489.0,480.13,,1.2
2015-09-17,480.88,488.25,489.75,480.88,,-1.64
2015-09-16,488.88,494.13,495.0,483.13,,-1.21
2015-09-15,494.88,500.63,503.25,492.38,,-1.3
2015-09-14,501.38,486.38,501.63,485.88,,3.35
2015-09-11,485.13,477.88,485.5,468.63,,1.46
2015-09-10,478.13,472.25,479.5,471.5,,1.16
2015-09-09,472.63,473.0,481.0,471.13,,-0.53
2015-09-08,475.13,469.13,476.63,469.13,,1.71
2015-09-04,467.13,465.88,469.63,463.13,,0.48
2015-09-03,464.88,479.25,479.38,464.88,,-2.97
2015-09-02,479.13,486.13,490.0,476.63,,-1.34
2015-09-01,485.63,484.13,491.5,482.13,,0.05
2015-08-31,485.38,484.13,485.88,476.63,,1.62
2015-08-28,477.63,484.88,487.75,476.13,,-1.47
2015-08-27,484.75,490.75,495.38,481.63,,-1.27
2015-08-26,491.0,498.38,499.88,488.38,,-1.11
2015-08-25,496.5,504.13,511.25,492.63,,-1.54
2015-08-24,504.25,498.13,504.38,487.5,,0.98
2015-08-21,499.38,504.5,507.13,495.75,,-0.94
2015-08-20,504.13,495.75,507.63,495.5,,1.59
2015-08-19,496.25,494.88,498.38,491.13,,0.15
2015-08-18,495.5,500.0,503.38,493.38,,-1.02
2015-08-17,500.63,503.63,508.75,498.5,,-1.04
2015-08-14,505.88,503.13,512.0,497.88,,0.5
